Noun,Verb,Met Par,Sentence,Metonymy,Metaphor,Hybrid,Category
researcher,steer,whiteboard,focus—the researcher steers the interaction towards topics which are relevant to the team's scope.,focus—the whiteboard steers the interaction towards topics which are relevant to the team's scope.,"The researcher navigates the interaction at the helm, guiding the conversation towards topics relevant to the team's scope.","focus—the whiteboard navigates the interaction at the helm, guiding the conversation towards topics relevant to the team's scope.",CN
dictator,function,specter,"in practice, the dictator functioned as a consul without any constitutional checks on his power.","in practice, the specter functioned as a consul without any constitutional checks on his power.","In practice, the dictator operated as a tyrannical monarch, unchecked by constitutional constraints.","in practice, the sceptre operated as a tyrannical monarch, unchecked by constitutional constraints.",CN
lawyer,stand,mortuary,the deceased's lawyer stands near the body and blames the suicide on alcoholism.,the deceased's mortuary stands near the body and blames the suicide on alcoholism.,"The deceased's lawyer cowers beside the body, unable to confront the truth that alcoholism had consumed their client.","the deceased's mortuary cowers beside the body, unable to confront the truth that alcoholism had consumed their client.",CN
physician,see,stethoscope,"a tda physician sees military dependants, active duty patients, and retirees.","a tda stethoscope sees military dependants, active duty patients, and retirees.","The TDA physician's gaze falls upon military dependants, active duty patients, and retirees.","a tda stethoscope 's gaze falls upon military dependants, active duty patients, and retirees.",CN
dictator,try,megaphone,the dictator tries to do the same to the player.,the megaphone tries to do the same to the player.,The dictator plotted to suffocate the player.,the megaphone plotted to suffocate the player.,CN
economist,publish,office,the economist published a correcting statement.,the office published a correcting statement.,"The economist unleashed a manifesto, correcting the public's understanding.","the office unleashed a manifesto, correcting the public's understanding.",CN
waiter,have,notepad,"the waiter has little sympathy, but the waitress takes the ultimate revenge.","the notepad has little sympathy, but the waitress takes the ultimate revenge.","The waiter has little sympathy, but the waitress unleashes darkness upon him.","the notepad has little sympathy, but the waitress unleashes darkness upon him.",CN
composer,transcribe,music hall,the composer also transcribed the piece as a piano duet with violin and cello ad.,the music hall also transcribed the piece as a piano duet with violin and cello ad.,The composer etched the piece in gold as a piano duet with violin and cello accompaniment.,the music hall etched the piece in gold as a piano duet with violin and cello accompaniment.,CN
player,have,home,the player has the option to have the vet sleep from 2 to 8 hours.,the home has the option to have the vet sleep from 2 to 8 hours.,The player has the option to let the vet snooze for an eternity.,the home has the option to let the vet snooze for an eternity.,CN
commentator,say,newspaper office,"a commentator said, ""all this comes, we fear, of muscular christianity.","a newspaper office said, ""all this comes, we fear, of muscular christianity.",The commentator's words bellows out a warning of muscular Christianity.,a newspaper office 's words bellows out a warning of muscular Christianity.,CN
engineer,die,cockpit,the flight engineer died in the crash.,the flight cockpit died in the crash.,The flight engineer's spirit withered in the crash.,the flight cockpit 's spirit withered in the crash.,CN
vocalist,have,concert hall,"""in the days of the big bands, a vocalist had to be able to sing....","""in the days of the big bands, a concert hall had to be able to sing....","In the days of the big bands, a vocalist had to be able to unleash a song.","""in the days of the big bands, a concert hall had to be able to unleash a song.",CN
